method,output_mode,warp,label,n_runs,mean_runtime_sec,std_runtime_sec,mean_cpu_peak_rss_mb,std_cpu_peak_rss_mb,mean_cpu_peak_delta_mb,std_cpu_peak_delta_mb,mean_gpu_peak_allocated_mb,std_gpu_peak_allocated_mb
online,single-output,off,"Online, SO, warp off",48,211.0415165616081,151.7954419618231,2116.663549067206,178.65601352383484,484.67675667151417,244.89299523914957,0.0,0.0
offline,single-output,off,"Offline, SO, warp off",48,401.29548275827307,197.62051747913966,4333.944268994693,419.61638464818685,1142.4332457458052,350.4032125040931,0.0,0.0
offline,multi-output,off,"Offline, MO, warp off",48,519.3035599371698,445.2969754313752,5772.988413871972,965.9614429006004,1820.5603373014553,816.5584112439868,0.0,0.0
offline,single-output,on,"Offline, SO, warp on",48,1053.079442643423,546.5494670051618,4604.001216641803,392.4569156096273,671.3033847113614,197.5375132242562,0.0,0.0
offline,multi-output,on,"Offline, MO, warp on",48,1613.121660609492,987.5530821479343,6437.905444435383,1680.5635130743758,2870.4991119165643,1048.6563079802731,0.0,0.0
