method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
online,102,single-output,off,2187,90,1,1,4,8,168.21763323171592,2.8036272205285986,168.30617311492634,2.8051028852487723,1658.1796439010277,1927.65969044834,2089.6588088569006,404.9977960214029,1658.1796439010277,2089.6588088569006,0.0,
offline,102,single-output,off,2187,90,1,1,4,9,468.489360460269,7.808156007671149,468.52506857953904,7.8087511429923175,3218.038409845028,3822.563189655281,4284.034614109388,1153.6785611352664,3218.038409845028,4284.034614109388,0.0,
offline,102,multi-output,off,2187,90,2,2,4,10,736.2464845698631,12.270774742831053,736.2718290649102,12.271197151081838,4028.849651032308,4968.500189519424,5809.1323750808215,2101.5804639034936,4028.849651032308,5809.1323750808215,0.0,
offline,102,single-output,on,2187,90,1,1,4,9,1253.7537131201254,20.89589521866876,1253.8223327656988,20.89703887942831,3944.083253652839,4236.087578863907,4538.58708094677,756.2487552071578,3944.083253652839,4538.58708094677,0.0,
offline,102,multi-output,on,2187,90,2,2,4,10,2113.408852651429,35.22348087752381,2113.465269221212,35.22442115368687,3344.585620816279,5831.565890079504,7062.5642608235885,3077.495926860209,3344.585620816279,7062.5642608235885,0.0,
online,103,single-output,off,2084,90,1,1,2,2,77.43554569510067,1.2905924282516779,77.47630321879461,1.2912717203132436,1651.838032778522,1869.5422936960592,1972.578903169131,257.5915236826797,1651.838032778522,1972.578903169131,0.0,
offline,103,single-output,off,2084,90,1,1,2,5,267.3173097936953,4.455288496561589,267.3376846392877,4.455628077321462,3223.595025824177,3775.76543143643,4179.3081909631255,1008.8568988167392,3223.595025824177,4179.3081909631255,0.0,
offline,103,multi-output,off,2084,90,2,2,2,4,254.05141698285732,4.234190283047622,254.06016243022367,4.234336040503728,4028.742595543148,4601.435416760705,5092.85463632515,1228.5480489111123,4028.742595543148,5092.85463632515,0.0,
offline,103,single-output,on,2084,90,1,1,2,5,772.7134487482136,12.878557479136894,772.7557404059992,12.879262340099986,3933.774101947055,4096.13791656222,4305.150443027986,522.5313161644127,3933.774101947055,4305.150443027986,0.0,
offline,103,multi-output,on,2084,90,2,2,2,4,1086.2195282339299,18.10365880389883,1086.2371106471746,18.103951844119578,3354.994314179334,4471.901820365115,5348.040940268675,2190.347799758899,3354.994314179334,5348.040940268675,0.0,
online,104,single-output,off,2229,90,1,1,5,27,420.3229704414295,7.005382840690491,420.5442037687483,7.009070062812471,1647.0101274847232,1991.7395451340624,2318.9533655937325,818.0345511491756,1647.0101274847232,2318.9533655937325,0.0,
offline,104,single-output,off,2229,90,1,1,5,10,517.7784192496663,8.629640320827772,517.8178841662908,8.63029806943818,3214.0052956875857,3698.9655591705846,4149.82059671526,1127.1375938616882,3214.0052956875857,4149.82059671526,0.0,
offline,104,multi-output,off,2229,90,2,2,5,15,1184.5460974869268,19.742434958115446,1184.5868742150062,19.743114570250103,4025.163538733808,5200.603696418443,6239.28198351446,2596.6957177400427,4025.163538733808,6239.28198351446,0.0,
offline,104,single-output,on,2229,90,1,1,5,10,1394.987520787529,23.249792013125486,1395.0638703514458,23.25106450585743,3931.957253532728,4323.36613327263,4653.209599210027,824.6086648434925,3931.957253532728,4653.209599210027,0.0,
offline,104,multi-output,on,2229,90,2,2,5,15,3107.3390979515566,51.78898496585928,3107.422047075593,51.79036745125988,3357.224842157722,6810.829278086416,8262.481768256508,3629.1312254252302,3357.224842157722,8262.481768256508,0.0,
online,105,single-output,off,2572,90,1,1,3,50,741.0851062739929,12.351418437899882,741.4751699522049,12.357919499203414,1646.841223575502,2189.5551922272675,2684.5784985692417,1237.5582658549356,1646.841223575502,2684.5784985692417,0.0,
offline,105,single-output,off,2572,90,1,1,3,10,599.6666984915971,9.994444974859952,599.7124049084323,9.995206748473871,3224.4096057000315,3987.130438176772,4550.023777786751,1407.2333490249491,3224.4096057000315,4550.023777786751,0.0,
offline,105,multi-output,off,2572,90,2,2,3,4,287.16383507232155,4.786063917872026,287.1737203791423,4.786228672985705,4021.034131647162,5291.191778899098,6015.27440674415,1810.206569612632,4021.034131647162,6015.27440674415,0.0,
offline,105,single-output,on,2572,90,1,1,3,10,1579.5198736531702,26.325331227552837,1579.606322923686,26.326772048728103,3930.5237297274593,4375.322184030226,4713.599860910533,845.6941922007669,3930.5237297274593,4713.599860910533,0.0,
offline,105,multi-output,on,2572,90,2,2,3,4,1233.875766958408,20.564596115973465,1233.8987604729425,20.564979341215707,3344.940554484423,4931.938636567615,6106.468274496982,2936.32409482342,3344.940554484423,6106.468274496982,0.0,
online,106,single-output,off,2027,90,1,1,2,11,191.83787010488464,3.1972978350814105,191.93884229363863,3.198980704893977,1644.5269090476763,1890.57621089906,2066.777287498828,440.50269149941903,1644.5269090476763,2066.777287498828,0.0,
offline,106,single-output,off,2027,90,1,1,2,8,421.3038650775091,7.021731084625151,421.3359767324,7.022266278873333,3218.894616883756,3813.021700463544,4191.557823713115,946.3403081239278,3218.894616883756,4191.557823713115,0.0,
offline,106,multi-output,off,2027,90,2,2,2,4,236.22098617379544,3.937016436229924,236.22911782771783,3.937151963795297,4026.9848527783897,4523.372972549874,5072.291787212476,1372.2970366565046,4026.9848527783897,5072.291787212476,0.0,
offline,106,single-output,on,2027,90,1,1,2,8,1186.5828993147884,19.776381655246475,1186.6478426103831,19.777464043506384,3935.206509749738,4181.389551391346,4422.982550879264,603.982498719795,3935.206509749738,4422.982550879264,0.0,
offline,106,multi-output,on,2027,90,2,2,2,4,1086.7837278870045,18.113062131450075,1086.8025947405872,18.11337657900979,3352.2826228271865,4430.450919466506,5232.002641096921,2003.8793040760388,3352.2826228271865,5232.002641096921,0.0,
