0,1,2,3,4,5,6,7,8,9
7.773,7.8108,7.8113,7.8064,7.8005,7.7939,7.7871,7.7803,7.7734,7.7676
7.7212,7.7557,7.7585,7.7567,7.7538,7.7503,7.7465,7.7425,7.7384,7.734
7.7022,7.7286,7.7308,7.7291,7.7263,7.723,7.7193,7.7154,7.7115,7.7073
7.6757,7.7115,7.7147,7.7133,7.7109,7.7078,7.7043,7.7008,7.6971,7.6932
7.6432,7.693,7.6983,7.6981,7.6969,7.6948,7.6924,7.6899,7.6871,7.6839
7.501,7.5642,7.5708,7.5709,7.5699,7.5678,7.5656,7.5631,7.5604,7.557
7.3664,7.4447,7.4519,7.4518,7.4506,7.448,7.4456,7.4432,7.4406,7.4382
7.2949,7.3926,7.4035,7.4062,7.4081,7.4087,7.4091,7.4095,7.4096,7.4088
7.1993,7.3005,7.3125,7.3167,7.3202,7.3222,7.3242,7.3261,7.3285,7.3292
7.1528,7.2357,7.2458,7.2498,7.2531,7.2526,7.2546,7.2566,7.2585,7.2599
7.1373,7.2013,7.2101,7.2143,7.2178,7.2201,7.2226,7.225,7.2273,7.2309
7.1395,7.1867,7.1919,7.1929,7.1931,7.1924,7.1916,7.1905,7.1892,7.1879
7.1762,7.2178,7.2234,7.2253,7.2265,7.2269,7.2273,7.2276,7.2276,7.2277
7.239,7.2762,7.2828,7.2862,7.2891,7.2912,7.2932,7.295,7.2966,7.2976
7.1855,7.216,7.2225,7.226,7.2286,7.2312,7.2328,7.2342,7.2354,7.236
7.1308,7.154,7.1552,7.1535,7.1509,7.1479,7.1444,7.1408,7.137,7.1326
7.0226,7.0448,7.0452,7.0431,7.0405,7.0375,7.0374,7.039,7.0405,7.0394
7.0838,7.1051,7.1082,7.109,7.1092,7.109,7.1084,7.1074,7.1063,7.1044
7.192,7.2101,7.2132,7.2145,7.2152,7.2155,7.2153,7.2147,7.214,7.212
7.326,7.3395,7.339,7.3375,7.3357,7.3337,7.3314,7.3289,7.3262,7.3226
7.4477,7.4717,7.4786,7.4845,7.4912,7.4974,7.5042,7.5112,7.5181,7.5246
7.6305,7.6639,7.6745,7.6827,7.6904,7.6975,7.7036,7.7091,7.7143,7.7173
7.8452,7.8764,7.8823,7.8857,7.8886,7.8909,7.8923,7.8929,7.8933,7.892
7.9664,8.0012,8.0083,8.0132,8.0177,8.0212,8.0237,8.0254,8.0268,8.0268
7.9741,8.0091,8.0118,8.0121,8.0118,8.0103,8.0084,8.006,8.0032,7.9999
8.0036,8.0419,8.0453,8.0456,8.0452,8.0436,8.0414,8.0385,8.0349,8.0304
8.0021,8.0391,8.0412,8.0398,8.0375,8.0343,8.0305,8.026,8.0208,8.0148
7.8201,7.8597,7.8668,7.8706,7.8737,7.8759,7.8781,7.88,7.8812,7.8822
7.7015,7.7419,7.7529,7.761,7.7682,7.7745,7.7801,7.7851,7.7894,7.7925
7.7109,7.7517,7.7651,7.7755,7.7848,7.7934,7.8013,7.8085,7.8152,7.8204
7.7871,7.83,7.8447,7.8563,7.8667,7.8765,7.8856,7.894,7.9019,7.908
7.8073,7.8522,7.867,7.8785,7.889,7.8987,7.9074,7.9152,7.9225,7.9268
7.8275,7.8702,7.8802,7.8865,7.8917,7.8961,7.8991,7.9011,7.9026,7.9008
7.7535,7.7948,7.8038,7.8089,7.8127,7.8155,7.817,7.8175,7.8175,7.8146
7.6159,7.6531,7.6567,7.6563,7.6548,7.6524,7.6492,7.6454,7.6413,7.6357
7.4518,7.488,7.4914,7.4916,7.4912,7.4898,7.4883,7.4866,7.4846,7.4825
7.3781,7.4054,7.4152,7.4244,7.4331,7.441,7.4485,7.4558,7.4626,7.4796
7.4179,7.4105,7.4131,7.4187,7.4235,7.4272,7.4322,7.418,7.4212,7.4231
7.3345,7.3402,7.3355,7.3374,7.3387,7.3399,7.3404,7.3405,7.3404,7.3398
7.3072,7.3218,7.3249,7.3254,7.3237,7.3227,7.32,7.317,7.3138,7.3102
7.2907,7.3096,7.3149,7.318,7.3205,7.3226,7.3236,7.3255,7.3272,7.329
7.2381,7.2614,7.2703,7.2764,7.2817,7.2865,7.291,7.2953,7.2994,7.3031
7.2248,7.2448,7.2516,7.2568,7.261,7.2648,7.2682,7.2713,7.2743,7.2767
7.2181,7.235,7.2408,7.2444,7.2474,7.25,7.2524,7.2546,7.2568,7.2593
7.199,7.2194,7.2254,7.2287,7.2313,7.2336,7.2354,7.2371,7.2386,7.2392
7.0986,7.1231,7.1286,7.1307,7.1316,7.1323,7.1326,7.1327,7.1326,7.1318
7.0436,7.0663,7.0695,7.0697,7.0696,7.0691,7.0692,7.0698,7.0703,7.0711
7.0482,7.0763,7.0814,7.0834,7.0847,7.0856,7.0865,7.0872,7.0879,7.0883
7.121,7.1542,7.1581,7.1587,7.1588,7.1583,7.1578,7.1572,7.1565,7.155
7.0265,7.0656,7.066,7.0622,7.0579,7.0527,7.0476,7.0424,7.0371,7.0313
6.9142,6.9623,6.9667,6.9667,6.9664,6.9652,6.9641,6.9631,6.962,6.9607
6.9626,7.007,7.0118,7.0126,7.0126,7.0117,7.0107,7.0095,7.0082,7.0066
6.9957,7.0315,7.0333,7.0322,7.0307,7.0285,7.0263,7.0241,7.0218,7.0196
7.0901,7.1228,7.1259,7.127,7.1278,7.1279,7.1282,7.1285,7.1288,7.1291
7.1854,7.2202,7.2249,7.2273,7.2293,7.2305,7.2317,7.2328,7.2338,7.2345
7.2539,7.2987,7.3031,7.3035,7.3031,7.3017,7.3002,7.2985,7.2966,7.2936
7.1331,7.1902,7.1927,7.1897,7.1858,7.1806,7.1754,7.17,7.1644,7.1584
7.0753,7.1422,7.1469,7.1456,7.1433,7.1397,7.136,7.1323,7.1284,7.1238
7.0354,7.1031,7.1087,7.1083,7.1066,7.1036,7.1002,7.0966,7.0928,7.088
7.0275,7.0886,7.0943,7.0946,7.0941,7.0924,7.0919,7.0897,7.0871,7.0845
7.1107,7.1443,7.1504,7.1555,7.1608,7.1656,7.1703,7.1741,7.1847,7.1874
7.482,7.493,7.4911,7.4893,7.4891,7.4891,7.4884,7.4866,7.4837,7.4791
7.7344,7.7319,7.731,7.7309,7.7309,7.7304,7.7373,7.7342,7.7303,7.7242
7.8792,7.8803,7.8786,7.8762,7.8738,7.8712,7.8719,7.867,7.8615,7.854
7.9503,7.9563,7.9507,7.9445,7.9317,7.9244,7.9157,7.9056,7.8947,7.8821
7.9304,7.9511,7.9552,7.9569,7.9576,7.9577,7.9569,7.9553,7.9531,7.9491
7.9133,7.9355,7.9355,7.9327,7.929,7.9245,7.9189,7.9122,7.9051,7.8956
7.9756,7.9927,7.9891,7.987,7.9803,7.973,7.965,7.9566,7.9476,7.9377
8.0166,8.0488,8.0504,8.0492,8.0475,8.0449,8.0417,8.038,8.0339,8.0291
7.9015,7.9513,7.9569,7.9584,7.9581,7.9577,7.9571,7.9563,7.9553,7.9541
7.9592,8.0252,8.0337,8.0362,8.0381,8.0387,8.0392,8.0397,8.0398,8.0396
7.9659,8.049,8.0609,8.0653,8.0683,8.0697,8.0707,8.0713,8.0714,8.0705
7.9353,8.027,8.039,8.0432,8.046,8.0471,8.0479,8.0483,8.0483,8.0467
7.7779,7.866,7.8761,7.8779,7.8785,7.8773,7.8758,7.8738,7.8714,7.8672
7.5101,7.5952,7.6074,7.6123,7.6161,7.6182,7.62,7.6214,7.6224,7.6221
7.4662,7.5467,7.5608,7.5688,7.5754,7.5805,7.5851,7.5891,7.5928,7.5947
7.4502,7.5245,7.5376,7.5451,7.5511,7.5556,7.5595,7.5628,7.5659,7.5669
7.4305,7.4995,7.5102,7.5152,7.5189,7.5212,7.5232,7.5247,7.5259,7.5253
7.3274,7.3871,7.3917,7.3906,7.3883,7.3848,7.3807,7.3762,7.3713,7.365
7.3094,7.3644,7.3718,7.3742,7.3756,7.3758,7.3752,7.3743,7.373,7.3705
7.2418,7.2949,7.3065,7.314,7.3203,7.3254,7.3299,7.3341,7.338,7.3408
7.2017,7.2534,7.2657,7.2738,7.2808,7.2868,7.2924,7.2978,7.3028,7.3066
7.1235,7.171,7.1809,7.1867,7.1914,7.1951,7.1984,7.2012,7.2038,7.2054
7.0625,7.1056,7.1131,7.1167,7.1192,7.1208,7.1222,7.1231,7.1237,7.1238
6.9888,7.0288,7.0356,7.0387,7.0411,7.0423,7.0436,7.0448,7.0457,7.0465
6.979,7.0175,7.0244,7.0277,7.0304,7.0324,7.0343,7.036,7.0375,7.0387
6.9123,6.9525,6.9608,6.965,6.9684,6.9711,6.9735,6.9757,6.9777,6.979
6.9775,7.0189,7.0283,7.0339,7.0386,7.0424,7.046,7.0495,7.0527,7.0555
7.0175,7.0523,7.0604,7.0657,7.0704,7.0743,7.078,7.0815,7.0846,7.0875
7.0487,7.0808,7.0883,7.0933,7.0978,7.1016,7.1052,7.1085,7.1116,7.1139
7.0962,7.1246,7.129,7.1309,7.1322,7.133,7.1332,7.1331,7.1328,7.1311
