record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
100,CAE+DPGMM,0.7764697313308715,2272,3,11,0.985475352112676,0.0012206810523189057,0.003018328676719154,0.005983753220109883,0.07220318872879926,0.0031212098848588674,0.005983753220109883,0.1388757824897766,,,,,,,
100,CAE+DBSCAN,0.6730183045069377,2272,3,3,0.9850352112676056,-0.0102248403938146,0.01076264691645588,0.013909498163037062,0.026764868292374563,0.009396356538397271,0.013909498163037062,0.3642413318157196,0.4581950008869171,0.7380285713707383,10.0,0.9498239436619719,2.0,,
100,DEC,1.0663855115572611,2272,3,2,0.9850352112676056,0.0008403123781121489,0.0007875704658767909,0.002155492950225577,0.010432558295339263,0.0012019111816765943,0.002155492950225577,0.2949044108390808,,,,,,2,0.35528719425201416
100,HDP-GPC,nan,2272,3,2,0.985475352112676,0.05632335490745094,0.09117686138271396,0.09194644466283734,0.048188607917029856,0.9999999999999961,0.09194644466283734,0.936472475528717,,,,,,,
101,CAE+DPGMM,0.5601725459098816,1865,3,14,0.9983914209115281,0.015884209411486796,0.028838548784024146,0.031961714456127506,0.4710471128938575,0.01654206736958503,0.031961714456127506,-0.1277562528848648,,,,,,,
101,CAE+DBSCAN,0.5454544385274251,1865,3,3,0.9973190348525469,0.05913027027389369,0.04521292541091874,0.048131027262843705,0.1908777165362873,0.02753737561908738,0.048131027262843705,0.41550594568252563,0.47482946515083313,0.7536928349588073,5.0,0.9715817694369974,2.0,,
101,DEC,0.8721376657485962,1865,3,3,0.9983914209115281,0.004331129030286581,0.021625615888990434,0.023627385870036145,0.41821553823212854,0.012157105107915232,0.023627385870036145,0.3489564061164856,,,,,,3,0.35968348383903503
101,HDP-GPC,nan,1865,3,2,0.9983914209115281,0.5705083283503228,0.5838933748411567,0.5844295425847805,0.41285796798267627,1.0000000000001055,0.5844295425847805,0.9201911687850952,,,,,,,
102,CAE+DPGMM,0.6368903875350952,2187,4,15,0.9949702789208962,0.15537768166669674,0.3567626624128111,0.36161095045136743,0.9384824729923922,0.22395132757166045,0.3616109504513675,0.14240281283855438,,,,,,,
102,CAE+DBSCAN,0.6335229277610779,2187,4,4,0.9721079103795153,0.5020656548341338,0.5225845501556236,0.5245417786769777,0.7503775157285704,0.4031950556484744,0.5245417786769776,0.459846556186676,0.6568993926048279,0.4081590306056352,10.0,0.8747142203932328,3.0,,
102,DEC,0.9880256692568461,2187,4,2,0.9465020576131687,0.6533009475674957,0.48729716102013143,0.4884802086451888,0.4600959018429785,0.5205969557241812,0.4884802086451888,0.674919605255127,,,,,,2,0.7565457820892334
102,HDP-GPC,nan,2187,4,10,0.9908550525834476,0.32815289257780805,0.4479943810485387,0.45203117810949534,0.8719499454878286,0.3050995485732514,0.4520311781094953,0.18604467809200287,,,,,,,
103,CAE+DPGMM,0.6404640436172485,2084,2,28,0.9990403071017274,0.00029585640256032264,0.0012018136353446373,0.0026668282662774315,0.4714048801570271,0.0013371965223687903,0.0026668282662774315,0.1506563276052475,,,,,,,
103,CAE+DBSCAN,0.6122198740641276,2084,2,3,0.9990403071017274,0.002530723490526095,0.0035752683268600806,0.004688008318236927,0.2788753481126454,0.0023638729935855176,0.004688008318236927,0.17944374680519104,0.23468084633350372,0.537675189984343,10.0,0.8905950095969289,2.0,,
