method,n_records,mean_acc,std_acc,mean_ari,std_ari,mean_ami,std_ami,mean_nmi,std_nmi,mean_homogeneity,std_homogeneity,mean_completeness,std_completeness,mean_v_measure,std_v_measure,mean_silhouette,std_silhouette,mean_fit_minutes,std_fit_minutes,mean_n_pred_clusters,std_n_pred_clusters
CAE+DBSCAN,48,0.9459818053223215,0.06349279946145238,0.37349720612991893,0.30512083039009846,0.32332696779311315,0.2669184742781054,0.3250033122224561,0.26647273599363763,0.49040321617241744,0.2990306898892153,0.2870495737239373,0.2408350606099832,0.3250033122224561,0.26647273599363763,0.421820398264875,0.19851286169967264,0.680029921647575,0.17226143692784343,3.5,0.9128709291752769
CAE+DPGMM,48,0.9793288242371784,0.04048480691822462,0.2708930607333609,0.32259650599368245,0.2977063945558391,0.27816092855247504,0.3011126225617028,0.27814514840613946,0.7537853403754569,0.27463044685945176,0.2251106354144512,0.2341061003050958,0.3011126225617028,0.2781451484061394,0.21205241997571042,0.1282840314766332,0.7090651028686099,0.17981787489905102,18.9375,6.844725006650498
DEC,48,0.9576496222888592,0.05865675684745596,0.3748046075926736,0.41683550996417584,0.35235341395675945,0.37866496522419874,0.35341028179183587,0.3782078630255242,0.46106643348012977,0.3672760948870075,0.3639758060092642,0.4050330854692703,0.3534102817918358,0.37820786302552417,0.5005163952397803,0.2302201877902864,1.118095079312722,0.46737185564407496,2.6666666666666665,1.4191155304938667
HDP-GPC,48,0.9757919037390329,0.04405177813904702,0.43428894461653056,0.3518608787292251,0.4348339028524976,0.3084982158593372,0.4368934516698935,0.3082580107244441,0.6649538930649832,0.3466750180321608,0.4140282472696515,0.3155445138323231,0.4368934516698935,0.3082580107244442,0.3234678541775793,0.2458768796546568,nan,nan,7.125,4.8417670672321
